Datetime,Yeast - BRD_VYA,Yeast - BRN_VYA,Yeast - FMX_VYA,Yeast - BRD_RawYeast,Yeast - BRN_RawYeast,Yeast - FMX_RawYeast,Yeast - BRD_IS/TS,Yeast - BRN_IS/TS,Yeast - FMX_IS/TS,Yeast - BRD,Yeast - BRN,Yeast - FMX
2019-10-29 05:00:00,,,187.0,,,36878.0,,,84.37,638.75,,
2019-10-29 07:00:00,,,95.0,,,14027.0,,,85.14,618.5,,
2019-10-29 09:00:00,,,96.0,,,16575.0,,,83.36,611.5,,
2019-10-29 11:00:00,,,97.0,,,15051.0,,,83.91,623.75,,
2019-10-30 02:00:00,295.0,,,91781.0,,,88.68333333333334,,,,1394.25,
2019-10-30 05:00:00,199.0,,,21845.0,,,89.22,,,,,459.0
2019-11-12 03:00:00,,,27.0,,,20893.0,,,86.48,153.5,,
2019-11-12 04:00:00,,,28.0,,,20784.0,,,85.83,460.5,,
2019-11-12 09:00:00,,,29.0,,,22060.0,,,84.04,616.5,,
2019-11-12 12:00:00,,,30.0,,,16442.0,,,84.78,633.5,,
2019-11-12 23:00:00,62.0,,,52560.0,,,98.91,,,,617.0,
2019-11-13 01:00:00,32.0,,,33623.0,,,85.53,,,,1693.25,
2019-11-14 02:00:00,80.0,,,66574.0,,,88.27,,,,,1240.0
2019-11-19 10:00:00,,,56.0,,,18485.0,,,88.84,305.5,,
2019-11-20 03:00:00,58.0,,,27018.0,,,87.38,,,,155.25,
2019-11-20 06:00:00,59.0,,,23870.0,,,87.22,,,,316.0,
2019-11-20 11:00:00,61.0,,,27980.0,,,85.17,,,,616.0,
2019-11-20 20:00:00,,63.0,,,32046.0,,,82.43,,,,775.5
2019-11-22 07:00:00,,,129.0,,,34688.0,,,77.475,610.75,,
2019-11-25 08:00:00,139.0,,78.0,35637.0,,21290.0,86.36,,80.26,,,1281.25
2019-11-25 11:00:00,71.0,,,35637.0,,,89.65,,,,,623.0
2019-11-26 02:00:00,79.0,,,34798.0,,,96.68,,,1229.75,,
2019-11-26 04:00:00,80.0,,,40000.0,,,84.83,,,465.0,,
2019-11-26 08:00:00,245.0,,,56630.0,,,80.74,,,636.5,,
2019-11-26 13:00:00,83.0,,,30000.0,,,84.64,,,958.0,,
2019-12-03 02:00:00,,,14.0,,,20000.0,,,79.05,622.0,,
2019-12-03 04:00:00,,,15.0,,,20650.0,,,78.23,949.5,,
2019-12-03 07:00:00,,,16.0,,,16210.0,,,77.8,623.0,,
2019-12-03 10:00:00,,,17.0,,,16062.0,,,77.36,469.0,,
2019-12-04 05:00:00,21.0,,,27951.0,,,87.58,,,,,315.0
2019-12-04 07:00:00,22.0,,,24318.0,,,88.51,,,,,1294.25
2019-12-04 09:00:00,23.0,,,36917.0,,,88.04,,,,,1550.25
2019-12-04 19:00:00,49.0,,,77124.0,,,88.155,,,,,1131.25
2019-12-04 20:00:00,26.0,,,32006.0,,,88.22,,,,,809.75
2019-12-04 23:00:00,,27.0,,,16062.0,,,78.74,,,,1288.0
2019-12-05 01:00:00,,28.0,,,15311.0,,,76.6,,,,1274.0
2019-12-06 05:00:00,,,29.0,,,21708.0,,,85.83,1076.0,,
2019-12-06 06:00:00,,,30.0,,,21016.0,,,88.74,958.5,,
2019-12-06 10:00:00,,,32.0,,,20752.0,,,90.49,805.0,,
2019-12-10 21:00:00,46.0,,,40346.0,,,93.29,,,1087.0,,
2019-12-11 03:00:00,95.0,,,59057.0,,,87.64500000000001,,,312.25,,
2019-12-17 04:00:00,,64.0,,,22070.0,,,80.39,,310.25,,
2019-12-17 12:00:00,,332.0,,,79072.0,,,86.1675,,1095.5,,
2019-12-17 13:00:00,,69.0,,,18000.0,,,88.81,,788.5,,
2019-12-17 19:00:00,71.0,,,36475.0,,,86.33,,,,,935.5
2019-12-17 21:00:00,72.0,,,23460.0,,,88.72,,,,,1281.25
2019-12-18 00:00:00,73.0,,,46720.0,,,86.52,,,,,1284.5
2019-12-18 04:00:00,74.0,,,41388.0,,,89.38,,,,,308.0
2019-12-18 09:00:00,150.0,,,39669.0,,,98.74,,,,314.0,
2019-12-18 11:00:00,153.0,,,62933.0,,,93.965,,,,826.0,
2019-12-18 22:00:00,79.0,,,27344.0,,,91.67,,,,933.5,
2020-01-08 01:00:00,19.0,,,42805.0,,,84.82,,,1254.5,,
2020-01-08 03:00:00,20.0,,,42000.0,,,84.65,,,651.25,,
2020-01-08 08:00:00,42.0,,,41169.0,,,85.14,,,,1234.0,
2020-01-08 15:00:00,25.0,,,26659.0,,,88.24,,,,,320.0
2020-01-08 16:00:00,,,84.0,,,62544.0,,,90.51333333333332,,,610.0
2020-01-08 17:00:00,26.0,,,30322.0,,,86.62,,,,,610.0
2020-01-08 19:00:00,,,30.0,,,15577.0,,,88.15,,,650.0
2020-01-13 13:00:00,34.0,,,0.0,,,82.61,,,,,1004.0
2020-01-13 16:00:00,35.0,,39.0,29369.0,,20777.0,64.21,,87.44,,,1278.5
2020-01-13 18:00:00,,,40.0,,,17419.0,,,88.73,,,618.5
2020-01-13 19:00:00,,,41.0,,,18740.0,,,88.35,,,1097.25
2020-01-13 20:00:00,36.0,,,27803.0,,,85.71,,,,,1098.0
2020-01-13 21:00:00,,39.0,42.0,,22394.0,16000.0,,76.94,88.33,,,468.0
2020-01-14 10:00:00,,,45.0,,,21097.0,,,85.29,612.75,,
2020-01-14 16:00:00,,,46.0,,,16621.0,,,85.64,1255.0,,
2020-01-14 17:00:00,,,47.0,,,0.0,,,83.31,1267.75,,
2020-01-15 19:00:00,,52.0,,,15105.0,,,91.36,,,,1255.5
2020-01-21 05:00:00,,,64.0,,,21613.0,,,90.04,,771.75,
2020-01-21 06:00:00,,,65.0,,,15851.0,,,89.97,,1225.0,
2020-01-21 08:00:00,,,133.0,,,28081.0,,,88.935,,1226.0,
2020-01-29 13:00:00,14.0,,,45249.0,,,90.0,,,926.75,,
2020-01-29 18:00:00,,16.0,,,17600.0,,,89.9,,,612.0,
2020-01-29 20:00:00,,,20.0,,,15732.0,,,88.73,,915.0,
2020-02-04 02:00:00,,,69.0,,,35725.0,,,89.045,925.5,,
2020-02-04 07:00:00,,,36.0,,,15901.0,,,88.91,655.0,,
2020-02-04 09:00:00,,,37.0,,,16034.0,,,90.79,810.25,,
2020-02-05 02:00:00,39.0,,,33800.0,,,93.46,,,,,1232.0
2020-02-05 04:00:00,40.0,,,43890.0,,,90.56,,,,,622.0
2020-02-05 06:00:00,41.0,,,33506.0,,,91.1,,,,,920.75
2020-02-06 01:00:00,,,38.0,,,16043.0,,,88.06,,,1222.0
2020-02-06 05:00:00,,,42.0,,,20805.0,,,98.25,,,305.0
2020-02-06 07:00:00,,,43.0,,,21452.0,,,86.14,,,458.25
2020-02-06 11:00:00,,,45.0,,,18316.0,,,90.27,1085.5,,
2020-02-10 05:00:00,141.0,,,105349.0,,,90.10666666666667,,,,,156.0
2020-02-10 06:00:00,49.0,,,22138.0,,,91.03,,,,,1248.0
2020-02-10 15:00:00,,51.0,57.0,,17104.0,21241.0,,92.55,99.11,,,664.0
2020-02-10 16:00:00,,52.0,,,16759.0,,,93.03,,,,1306.0
2020-02-10 19:00:00,,107.0,,,39482.0,,,95.345,,,,1276.5
2020-02-11 06:00:00,,,59.0,,,20608.0,,,98.48,612.0,,
2020-02-11 11:00:00,,,122.0,,,32283.0,,,90.57,1220.0,,
2020-02-11 14:00:00,,,62.0,,,11720.0,,,98.17,600.5,,
2020-02-11 17:00:00,,,63.0,,,13823.0,,,88.26,795.5,,
2020-02-12 11:00:00,66.0,,,29057.0,,,90.62,,,,,1871.0
2020-02-12 14:00:00,67.0,,,41182.0,,,89.13,,,,,1331.0
2020-02-12 16:00:00,68.0,,,40294.0,,,90.49,,,,,1332.5
2020-02-12 19:00:00,,69.0,,,23296.0,,,98.65,,,,1400.5
2020-02-12 21:00:00,,70.0,,,25000.0,,,85.39,,,,1297.75
2020-02-13 00:00:00,,71.0,,,26869.0,,,87.83,,,,954.5
2020-02-13 05:00:00,,72.0,,,23766.0,,,86.27,,,,638.5
2020-02-14 07:00:00,,,151.0,,,37630.0,,,95.00999999999999,,916.0,
2020-02-18 05:00:00,,,90.0,,,20594.0,,,87.2,1327.0,,
2020-02-18 09:00:00,,,183.0,,,32199.0,,,89.215,770.75,,
2020-02-19 03:00:00,93.0,,,31199.0,,,88.39,,,,,621.0
